,Airline,Date_of_Journey,Source,Destination,Route,Total_Stops,Additional_Info,Price,journey_year,journey_month,journey_day,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,duration_hr,duration_min
0,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No info,3897,2019,3,24,22,20,1,10,2,50
1,Air India,2019-01-05,Kolkata,Banglore,CCU → IXR → BBI → BLR,2 stops,No info,7662,2019,1,5,5,50,13,15,7,25
2,Jet Airways,2019-09-06,Delhi,Cochin,DEL → LKO → BOM → COK,2 stops,No info,13882,2019,9,6,9,25,4,25,19,0
3,IndiGo,2019-12-05,Kolkata,Banglore,CCU → NAG → BLR,1 stop,No info,6218,2019,12,5,18,5,23,30,5,25
4,IndiGo,2019-01-03,Banglore,New Delhi,BLR → NAG → DEL,1 stop,No info,13302,2019,1,3,16,50,21,35,4,45
5,SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,non-stop,No info,3873,2019,6,24,9,0,11,25,2,25
6,Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,11087,2019,12,3,18,55,10,25,15,30
7,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,22270,2019,1,3,8,0,5,5,21,5
8,Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,11087,2019,12,3,8,55,10,25,25,30
9,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8625,2019,5,27,11,25,19,15,7,50
10,Air India,2019-01-06,Delhi,Cochin,DEL → BLR → COK,1 stop,No info,8907,2019,1,6,9,45,23,0,13,15
11,IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,non-stop,No info,4174,2019,4,18,20,20,22,55,2,35
12,Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,non-stop,No info,4667,2019,6,24,11,40,13,55,2,15
13,Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,9663,2019,9,5,21,10,9,20,12,10
14,IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,non-stop,No info,4804,2019,4,24,17,15,19,50,2,35
15,Air India,2019-03-03,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,14011,2019,3,3,16,40,19,15,26,35
16,SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,1 stop,No info,5830,2019,4,15,8,45,13,15,4,30
17,Jet Airways,2019-12-06,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,12,6,14,0,12,35,22,35
18,Air India,2019-12-06,Delhi,Cochin,DEL → CCU → BOM → COK,2 stops,No info,13381,2019,12,6,20,15,19,15,23,0
19,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12898,2019,5,27,16,0,12,35,20,35
20,GoAir,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,19495,2019,6,3,14,10,19,20,5,10
21,Air India,2019-03-21,Banglore,New Delhi,BLR → COK → DEL,1 stop,No info,6955,2019,3,21,22,0,13,20,15,20
22,IndiGo,2019-03-04,Banglore,Delhi,BLR → DEL,non-stop,No info,3943,2019,3,4,4,0,6,50,2,50
23,IndiGo,2019-01-05,Banglore,Delhi,BLR → DEL,non-stop,No info,4823,2019,1,5,18,55,21,50,2,55
24,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,7757,2019,6,5,18,55,8,15,13,20
25,Jet Airways,2019-09-06,Delhi,Cochin,DEL → IDR → BOM → COK,2 stops,No info,13292,2019,9,6,21,25,12,35,15,10
26,IndiGo,2019-01-06,Delhi,Cochin,DEL → LKO → COK,1 stop,No info,8238,2019,1,6,21,50,3,35,5,45
27,GoAir,2019-05-15,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7682,2019,5,15,7,0,12,55,5,55
28,Vistara,2019-06-18,Banglore,Delhi,BLR → DEL,non-stop,No info,4668,2019,6,18,9,45,12,35,2,50
29,Vistara,2019-06-15,Chennai,Kolkata,MAA → CCU,non-stop,No info,3687,2019,6,15,7,5,9,20,2,15
30,Vistara,2019-06-18,Chennai,Kolkata,MAA → CCU,non-stop,No info,3687,2019,6,18,7,5,9,20,2,15
31,Air India,2019-01-05,Kolkata,Banglore,CCU → GAU → DEL → BLR,2 stops,No info,13227,2019,1,5,9,50,23,15,13,25
32,IndiGo,2019-06-04,Banglore,Delhi,BLR → DEL,non-stop,No info,4423,2019,6,4,4,0,6,50,2,50
33,Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,2 stops,In-flight meal not included,10919,2019,6,15,14,35,12,35,22,0
34,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12373,2019,5,18,7,5,12,35,5,30
35,IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,5894,2019,6,27,10,35,21,0,10,25
36,SpiceJet,2019-05-21,Kolkata,Banglore,CCU → MAA → BLR,1 stop,No info,4649,2019,5,21,15,5,20,20,5,15
37,Air India,2019-05-18,Kolkata,Banglore,CCU → BLR,non-stop,No info,6245,2019,5,18,14,15,16,45,2,30
38,Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,19225,2019,6,3,7,0,13,15,6,15
39,Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14924,2019,3,6,7,5,19,0,11,55
40,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,9646,2019,5,21,7,5,18,10,11,5
41,Air India,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,8714,2019,3,15,6,45,15,15,8,30
42,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12373,2019,5,18,20,55,19,0,22,5
43,Air Asia,2019-06-05,Banglore,Delhi,BLR → DEL,non-stop,No info,3383,2019,6,5,11,10,13,55,2,45
44,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13062,2019,3,21,9,0,21,0,12,0
45,SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No check-in baggage included,3527,2019,3,24,5,45,8,35,2,50
46,IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,non-stop,No info,3943,2019,5,27,4,0,6,50,2,50
